name,nb_bac,template,date_start,nb_adult,nb_laying_day,reproduction_humidity_mass,reproduction_humidity_freq,reproduction_humidity_type,substrat_initial_mass,substrat_add_mass,substrat_BSG,substrat_carrot,substrat_apple,substrat_pear,substrat_other,other_type,growth_humidity_mass,growth_humidity_freq,growth_humidity_type,humidity_delay,humidity_total_mass,growth_day,harvest_mealworm_mass,harvest_pupa_nb,harvest_frass_pure,harvest_frass_filtered
G2.A1,1,NULL,2019-11-24,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4000,150,901,164,1322,NULL
G2.A2,1,NULL,2019-11-30,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4000,144,861,266,1444,NULL
G2.A3,1,NULL,2019-12-06,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4500,144,1014,14,1087,NULL
G2.A4,1,NULL,2019-12-12,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4300,138,976,3,967,NULL
G2.A5,1,NULL,2019-12-18,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4100,132,1227,15,1106,NULL
G2.A6,1,NULL,2019-12-24,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4500,144,993,33,1443,NULL
G2.A7,1,NULL,2019-12-30,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4300,138,1130,76,1419,NULL
G2.A8,1,NULL,2020-01-05,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4100,132,885,103,1361,NULL
G2.A9,1,NULL,2020-01-11,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3900,126,989,37,1239,NULL
G2.A10,1,NULL,2020-01-17,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3700,120,817,72,1361,NULL
G2.A11,1,NULL,2020-01-23,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3500,114,746,66,1350,NULL
G2.A12,1,NULL,2020-01-29,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3300,108,869,69,1341,NULL
G2.A13,1,NULL,2020-02-04,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3100,102,653,0,1425,NULL
G2.A14,1,NULL,2020-02-10,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3300,108,732,46,772,494
G2.A15,1,NULL,2020-02-16,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3100,102,NULL,NULL,764,497
G2.A16,1,NULL,2020-02-22,1700,6,200,3,carrot,2000,1000,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4300,NULL,NULL,NULL,NULL,NULL
G2.A17,1,NULL,2020-02-28,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,2450,90,700,867,878,437
G2.A18,1,NULL,2020-03-05,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,2850,102,987,191,1055,368
G2.A19,1,NULL,2020-03-11,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,3050,108,794,341,NULL,NULL
G2.B0,1,NULL,2019-11-24,1700,19,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3800,132,861,341,NULL,NULL
G2.B1,1,NULL,2019-12-12,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3900,132,920,16,1004,NULL
G2.B2,1,NULL,2019-12-18,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3900,126,1057,12,1155,NULL
G2.B3,1,NULL,2019-12-24,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4500,144,896,16,1434,NULL
G2.B4,1,NULL,2019-12-30,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4300,138,887,25,1476,NULL
G2.B5,1,NULL,2020-01-05,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4100,132,919,30,1487,NULL
G2.B6,1,NULL,2020-01-11,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3900,126,921,112,1280,NULL
G2.B7,1,NULL,2020-01-17,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3700,120,836,77,1334,NULL
G2.B8,1,NULL,2020-01-23,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3500,138,846,85,1295,NULL
G2.B9,1,NULL,2020-01-29,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4300,NULL,886,102,1153,312
G2.B10,1,NULL,2020-02-04,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4600,150,758,342,NULL,NULL
G2.B11,1,NULL,2020-02-10,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4300,132,801,434,NULL,NULL
G2.B12,1,NULL,2020-02-16,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4100,126,821,523,NULL,NULL
G2.B13,1,NULL,2020-02-22,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,4000,138,774,42,NULL,NULL
G2.B14,1,NULL,2020-02-28,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,2450,90,606,1124,864,462
G2.B15,1,NULL,2020-03-05,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,3250,114,557,1226,NULL,NULL
G2.B16,1,NULL,2020-03-11,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3050,120,671,1993,NULL,NULL
G2.C0,1,NULL,2019-12-12,1700,19,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3300,114,930,30,930,NULL
G2.C1,1,NULL,2019-12-30,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3900,126,905,103,1309,NULL
G2.C2,1,NULL,2020-01-05,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4100,132,874,53,1395,NULL
G2.C3,1,NULL,2020-01-11,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3900,126,890,37,1319,NULL
G2.C4,1,NULL,2020-01-17,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3700,120,806,124,1403,NULL
G2.C5,1,NULL,2020-01-23,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3500,114,853,68,1297,NULL
G2.C6,1,NULL,2020-01-29,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4500,83,702,584,NULL,NULL
G2.C7,1,NULL,2020-02-04,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4500,144,598,180,NULL,NULL
G2.C8,1,NULL,2020-02-10,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4500,144,784,43,NULL,NULL
G2.C9,1,NULL,2020-02-16,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4300,138,834,78,NULL,NULL
